$$EVR.ID,$$EVR.DESC,$$EVR.CODE,$$EVR.SCAT,$$EVR.EFF,$$EVR.LAP,$$EVR.RUFR,$$EVR.RUTH,$$EVR.SAFR,$$EVR.SATH,$$EVR.FSFR,$$EVR.FSTH,$$EVR.LCFR,$$EVR.LCTH,$$EVR.RPFR,$$EVR.RPTH,$$EVR.ATFR,$$EVR.ATTH,$$EVR.NFR,$$EVR.NTH,$$EVR.SDUF,$$EVR.SDUT,$$EVR.CDUF,$$EVR.CDUT,$$EVR.PJF,$$EVR.PJT,$$EVR.LOFF,$$EVR.LOFT,$$EVR.STFE,$$EVR.FEE,$$EVR.UOS,$$EVR.RND,$$EVR.REV,$$EVR.WUOS,$$EVR.WDOL,EVR.PROC,EVR.PCMI,EVR.PCMII,EVR.PCMIII,EVR.PCMIV,$$EVR.UOS,EVR.CAM.CD,EVR.CARE,EVR.RISPER.UNIT,EVR.STF.BK,EVR.ADM.EP,EVR.LINK,EVR.EPS.ID,EVR.REVCD,$$EVR.ANU,$$EVR.AUF,$$EVR.ISNP,$$EVR.ISNC,$$EVR.CARP,$$EVR.FOGP,$$EVR.LOFP,$$EVR.DAYS,$$EVR.PDST,$$EVR.PDES,$$EVR.ISNF,$$EVR.ISNA,$$EVR.LOF,$$EVR.PR,$$EVR.CYN,$$EVR.PRI,$$EVR.STD,$$EVR.STFR,$$EVR.STTH,$$EVR.STTF,$$EVR.STTT,$$EVR.STDF,$$EVR.STDT,$$EVR.CLD,$$EVR.CLFR,$$EVR.CLTH,$$EVR.CLTF,$$EVR.CLTT,$$EVR.CLDF,$$EVR.CLDT,FILLER
ISN2007000,ISN-CREATE ISN SAC1000,ISN,,2/1/2007,8/31/2014,,,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007001,ISN-CREATE ISN SAC1200,ISN,,2/1/2007,8/31/2014,,,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007002,ISN-CREATE ISN SAC1225,ISN,,2/1/2007,8/31/2014,,,1225,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007003,ISN-CREATE ISN SAC1250,ISN,,2/1/2007,8/31/2014,,,1250,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007004,ISN-CREATE ISN SAC1251-1252,ISN,,2/1/2007,8/31/2014,,,1251,1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007005,ISN-CREATE ISN SAC1275-1277,ISN,,2/1/2007,8/31/2014,,,1275,1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007006,ISN-CREATE ISN SAC1300,ISN,,2/1/2007,8/31/2014,,,1300,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007007,ISN-CREATE ISN SAC1400,ISN,,2/1/2007,8/31/2014,,,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007008,ISN-CREATE ISN SAC1410,ISN,,2/1/2007,8/31/2014,,,1410,1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007009,ISN-CREATE ISN SAC1450,ISN,,2/1/2007,8/31/2014,,,1450,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007012,ISN-CREATE ISN SAC3000,ISN,,2/1/2007,8/31/2014,,,3000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007013,ISN-CREATE ISN SAC3055-3056,ISN,,2/1/2007,8/31/2014,,,3055,3056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007014,ISN-CREATE ISN SAC3999,ISN,,2/1/2007,8/31/2014,,,3999,3999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007016,ISN-CREATE ISN SAC6100,ISN,,2/1/2007,8/31/2014,,,6100,6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007017,ISN-CREATE ISN SAC6115,ISN,,2/1/2007,8/31/2014,,,6115,6115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007018,ISN-CREATE ISN SAC6120,ISN,,2/1/2007,8/31/2014,,,6120,6121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007019,ISN-CREATE ISN SAC6150,ISN,,2/1/2007,8/31/2014,,,6150,6150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007020,ISN-CREATE ISN SAC6175,ISN,,2/1/2007,8/31/2014,,,6175,6175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007021,ISN-CREATE ISN SAC6200,ISN,,2/1/2007,8/31/2014,,,6200,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007022,ISN-CREATE ISN SAC6225,ISN,,2/1/2007,8/31/2014,,,6225,6225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007023,IST-CREATE ISN SAC6250-6254,ISN,,2/1/2007,8/31/2014,,,6250,6254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007024,ISN-CREATE ISN SAC6275,ISN,,2/1/2007,8/31/2014,,,6275,6275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007025,ISN-CREATE ISN SAC6280,ISN,,2/1/2007,8/31/2014,,,6280,6280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007026,ISN-CREATE ISN SAC6300,ISN,,2/1/2007,8/31/2014,,,6300,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007027,ISN-CREATE ISN SAC6325-6326,ISN,,2/1/2007,8/31/2014,,,6325,6326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007028,ISN-CREATE ISN SAC6348-6350,ISN,,2/1/2007,8/31/2014,,,6348,6350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007029,ISN-CREATE ISN SAC6375,ISN,,2/1/2007,8/31/2014,,,6375,6375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007030,ISN-CREATE ISN SAC6400,ISN,,2/1/2007,8/31/2014,,,6400,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007031,ISN-CREATE ISN SAC6425,ISN,,2/1/2007,8/31/2014,,,6425,6425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007033,ISN-CREATE ISN SAC6500,ISN,,2/1/2007,8/31/2014,,,6500,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007034,ISN-CREATE ISN SAC6600,ISN,,2/1/2007,8/31/2014,,,6600,6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007035,ISN-CREATE ISN SAC6700,ISN,,2/1/2007,8/31/2014,,,6700,6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007037,ISN-CREATE ISN SAC6800,ISN,,2/1/2007,8/31/2014,,,6800,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007038,ISN-CREATE ISN SAC6900,ISN,,2/1/2007,8/31/2014,,,6900,6900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007039,ISN-CREATE ISN SAC6910,ISN,,2/1/2007,8/31/2014,,,6910,6910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007041,ISN-CREATE ISN SAC8500,ISN,,2/1/2007,8/31/2014,,,8500,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007042,ISN-CREATE ISN SAC9000-9020,ISN,,2/1/2007,8/31/2014,,,9000,9020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007045,ISN-CREATE ISN SAC 3500,ISN,,6/1/2007,8/31/2014,,,3500,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2007047,ISN-CREATE ISN SAC 3414,ISN,,9/1/2007,8/31/2014,,,3414,3414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2008002,ISN-CREATE ISN SAC 4460-63,ISN,,3/1/2008,8/31/2014,,,4460,4463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2008004,ISN-CREATE ISN SAC 2001-03,ISN,,3/1/2008,8/31/2014,,,2001,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2008005,ISN-CREATE ISN SAC 4299,ISN,,3/1/2008,8/31/2014,,,4299,4299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2008007,ISN-CREATE ISN SAC 4426,ISN,,3/1/2008,8/31/2014,,,4426,4426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2008009,ISN-CREATE ISN SAC 4437,ISN,,3/1/2008,8/31/2014,,,4436,4437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2008010,ISN-CREATE ISN SAC 4450-53,ISN,,3/1/2008,8/31/2014,,,4450,4453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2008011,ISN-CREATE ISN SAC 4701-03,ISN,,3/1/2008,8/31/2014,,,4701,4703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2008014,ISN-CREATE ISN SAC 6750-6767,ISN,,10/1/2007,8/31/2014,,,6750,6767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2009002,ISN-CREATE ISN SAC8501,ISN,,12/1/2008,8/31/2014,,,8501,8501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2009003,ISN-CREATE ISN SAC 4406-12,ISN,,1/1/2009,8/31/2014,,,4406,4413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2009005,ISN-CREATE ISN SAC 6997-7010,ISN,,8/1/2009,8/31/2014,,,6997,7010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2010002,ISN-CREATE ISN SAC1501-1503,ISN,,4/1/2010,8/31/2014,,,1501,1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2010003,ISN-CREATE ISN SAC 4431-33,ISN,,4/1/2010,8/31/2014,,,4431,4433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2011001,ISN-CREATE ISN SAC6430-6432,ISN,,3/1/2011,8/31/2014,,,6430,6432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISN2011002,ISN-CREATE ISN SAC 6939-6965,ISN,,10/1/2011,8/31/2014,,,6939,6965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS2015001,ISN_CREATE ISN ALL,ISN,,9/1/2014,,,,0,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
